STATION,MATCHED_SEGID,MATCH_TYPE,SEGID,COUNTY_NAME,PCT_SUT,PCT_CUT
-757,0006_203.6,Predecessor (<=),0006_203.6,Utah,0.12395731,0.288365956
-638,0015_242.4,Predecessor (<=),0015_242.4,Utah,0.094952257,0.136316595
-650,0006_159.8,Predecessor (<=),0006_159.8,Utah,0.098543856,0.036742364
-654,0178_000.2,Predecessor (<=),0178_000.2,Utah,0.1761,0.0693
-639,0015_248.8,Predecessor (<=),0015_248.8,Utah,0.100164969,0.117363758
-655,0015_253.6,Predecessor (<=),0015_253.6,Utah,0.096087712,0.106386955
-653,0156_001.0,Predecessor (<=),0156_001.0,Utah,0.095193768,0.021207998
-646,0077_007.4,Predecessor (<=),0077_007.4,Utah,0.072701096,0.01943646
-664,0089_326.5,Predecessor (<=),0089_326.5,Utah,0.076237565,0.021190281
-312,0006_181.6,Predecessor (<=),0006_181.6,Utah,0.071271163,0.116786547
-321,0006_146.9,Predecessor (<=),0006_146.9,Utah,0.039851674,0.072107328
-327,0006_174.4,Predecessor (<=),0006_174.4,Utah,0.056890576,0.057209774
-349,0015_246.9,Predecessor (<=),0015_246.9,Utah,0.102202369,0.122848852
-416,0089_297.1,Predecessor (<=),0089_297.1,Utah,0.028679486,0.038268127
-611,0015_257.6,Predecessor (<=),0015_257.6,Utah,0.092007175,0.095401322
-815,0080_104.3,Predecessor (<=),0080_104.3,Salt Lake,0.098420691,0.095332034
-689,0134_006.5,Predecessor (<=),0134_006.5,Weber,0.144694779,0.043309484
-832,1485_000.7,Spatial Fallback,1485_000.7,Davis,0.0,0.0
-831,1495_000.0,Spatial Fallback,1495_000.0,Davis,0.0,0.0
-830,1498_000.0,Spatial Fallback,1498_000.0,Davis,0.0,0.0
-848,0085_018.7,Predecessor (<=),0085_018.7,Salt Lake,0.120560258,0.035861367
-850,0085_018.7,Predecessor (<=),0085_018.7,Salt Lake,0.120560258,0.035861367
-851,0085_018.7,Predecessor (<=),0085_018.7,Salt Lake,0.120560258,0.035861367
-849,0085_018.7,Predecessor (<=),0085_018.7,Salt Lake,0.120560258,0.035861367
-687,3310_000.5,Predecessor (<=),3310_000.5,Weber,0.0,0.0
-686,0013_001.6,Predecessor (<=),0013_001.6,Box Elder,0.107245845,0.080949487
-829,1435_001.5,Spatial Fallback,1435_001.5,Davis,0.0,0.0
-348,0015_340.3,Predecessor (<=),0015_340.3,Weber,0.095837088,0.113199452
-355,0171_000.5,Predecessor (<=),0171_000.5,Salt Lake,0.102072862,0.017145686
-613,0015_357.6,Predecessor (<=),0015_357.6,Box Elder,0.118649643,0.144848027
-619,0201_008.7,Predecessor (<=),0201_008.7,Salt Lake,0.136544606,0.064391454
-634,0085_015.5,Predecessor (<=),0085_015.5,Salt Lake,0.120560258,0.035861367
-847,0085_018.7,Predecessor (<=),0085_018.7,Salt Lake,0.120560258,0.035861367
-820,0154_006.8,Predecessor (<=),0154_006.8,Salt Lake,0.131655724,0.028082732
-819,0154_008.3,Predecessor (<=),0154_008.3,Salt Lake,0.12707513,0.027078471
-627,0154_012.9,Predecessor (<=),0154_012.9,Salt Lake,0.108752755,0.023061426
-657,2889_000.0,Predecessor (<=),2889_000.0,Utah,0.0,0.0
-633,0085_003.0,Predecessor (<=),0085_003.0,Salt Lake,0.156848191,0.054487461
-626,0073_034.6,Predecessor (<=),0073_034.6,Utah,0.13620302,0.071570832
-644,2881_011.9,Predecessor (<=),2881_011.9,Utah,0.0,0.0
-631,0266_001.7,Predecessor (<=),0266_001.7,Salt Lake,0.130697798,0.016924141
-636,0154_001.4,Predecessor (<=),0154_001.4,Salt Lake,0.149978099,0.032099777
-635,0015_286.8,Predecessor (<=),0015_286.8,Salt Lake,0.077222343,0.060196885
-630,0015_295.6,Predecessor (<=),0015_295.6,Salt Lake,0.123469688,0.058003999
-680,0015_295.6,Predecessor (<=),0015_295.6,Salt Lake,0.123469688,0.058003999
-663,0068_027.4,Predecessor (<=),0068_027.4,Utah,0.073615907,0.035565269
-816,0015_300.3,Predecessor (<=),0015_300.3,Salt Lake,0.071566468,0.036056683
-648,0194_000.8,Predecessor (<=),0194_000.8,Utah,0.064195066,0.024310013
-674,0015_283.9,Predecessor (<=),0015_283.9,Utah,0.077222343,0.060196885
-302,0015_289.8,Predecessor (<=),0015_289.8,Salt Lake,0.100953714,0.057621312
-662,2878_004.4,Predecessor (<=),2878_004.4,Utah,0.0,0.0
-817,0215_009.2,Predecessor (<=),0215_009.2,Salt Lake,0.103560416,0.034169636
-673,0015_279.6,Predecessor (<=),0015_279.6,Utah,0.084916273,0.065943369
-675,0092_002.4,Predecessor (<=),0092_002.4,Utah,0.059832584,0.013601154
-676,0092_002.4,Predecessor (<=),0092_002.4,Utah,0.059832584,0.013601154
-818,0215_007.7,Predecessor (<=),0215_007.7,Salt Lake,0.094623202,0.030537097
-632,0145_005.3,Predecessor (<=),0145_005.3,Utah,0.082933493,0.027198012
-672,0015_278.5,Predecessor (<=),0015_278.5,Utah,0.089117934,0.069081528
-643,2932_001.3,Predecessor (<=),2932_001.3,Utah,0.0,0.0
-658,0089_349.3,Predecessor (<=),0089_349.3,Utah,0.141902169,0.050472524
-335,0173_007.7,Predecessor (<=),0173_007.7,Salt Lake,0.060159394,0.012483865
-351,0215_011.5,Predecessor (<=),0215_011.5,Salt Lake,0.108000188,0.041183877
-406,0071_015.7,Predecessor (<=),0071_015.7,Salt Lake,0.080462817,0.027308935
-407,0068_038.1,Predecessor (<=),0068_038.1,Salt Lake,0.098987515,0.024957909
-617,0215_003.7,Predecessor (<=),0215_003.7,Salt Lake,0.076748774,0.02327202
-656,0129_004.5,Predecessor (<=),0129_004.5,Utah,0.075574065,0.020775494
-317,0210_003.9,Predecessor (<=),0210_003.9,Salt Lake,0.155512858,0.017050045
-645,0129_001.9,Predecessor (<=),0129_001.9,Utah,0.075574065,0.020775494
-670,0015_272.7,Predecessor (<=),0015_272.7,Utah,0.104030278,0.080219341
-671,0015_276.4,Predecessor (<=),0015_276.4,Utah,0.094669029,0.073227561
-647,0089_344.0,Predecessor (<=),0089_344.0,Utah,0.076453536,0.013811647
-651,0114_005.0,Predecessor (<=),0114_005.0,Utah,0.067548356,0.019137066
-641,0015_271.6,Predecessor (<=),0015_271.6,Utah,0.107382158,0.082722812
-669,0015_269.6,Predecessor (<=),0015_269.6,Utah,0.097540123,0.077782293
-640,0015_270.6,Predecessor (<=),0015_270.6,Utah,0.100741205,0.075577214
-642,0052_001.0,Predecessor (<=),0052_001.0,Utah,0.133531213,0.03290166
-306,0015_267.0,Predecessor (<=),0015_267.0,Utah,0.094336789,0.079988925
-668,0015_264.2,Predecessor (<=),0015_264.2,Utah,0.0911312,0.082197109
-649,0114_000.0,Predecessor (<=),0114_000.0,Utah,0.040168042,0.007374432
-661,0052_003.1,Predecessor (<=),0052_003.1,Utah,0.200639451,0.031713652
-659,0189_002.7,Predecessor (<=),0189_002.7,Utah,0.04848535,0.018372568
-667,0015_261.8,Predecessor (<=),0015_261.8,Utah,0.087923353,0.084406849
-665,0015_260.0,Predecessor (<=),0015_260.0,Utah,0.089965675,0.089905191
-660,0089_329.8,Predecessor (<=),0089_329.8,Utah,0.066673305,0.020962785
-822,0190_015.8,Predecessor (<=),0190_015.8,Salt Lake,0.115728113,0.014755416
-319,0189_013.1,Predecessor (<=),0189_013.1,Utah,0.269296883,0.078297889
-322,0190_001.8,Predecessor (<=),0190_001.8,Salt Lake,0.115728113,0.014755416
-350,0189_004.0,Predecessor (<=),0189_004.0,Utah,0.033265963,0.014669359
-601,0092_007.6,Predecessor (<=),0092_007.6,Utah,0.072961106,0.013109713
-602,0092_018.8,Predecessor (<=),0092_018.8,Utah,0.229427991,0.04592764
-637,0215_015.5,Predecessor (<=),0215_015.5,Salt Lake,0.081130875,0.040682205
-354,0171_008.8,Predecessor (<=),0171_008.8,Salt Lake,0.093048985,0.021769711
-629,0015_303.4,Predecessor (<=),0015_303.4,Salt Lake,0.053219333,0.034160207
-353,0215_017.5,Predecessor (<=),0215_017.5,Salt Lake,0.067696218,0.040431369
-341,0080_123.2,Predecessor (<=),0080_123.2,Salt Lake,0.072693973,0.054050966
-301,0080_128.7,Predecessor (<=),0080_128.7,Salt Lake,0.093628991,0.095625175
-836,0015_306.3,Predecessor (<=),0015_306.3,Salt Lake,0.039392526,0.032655327
-837,0015_306.3,Predecessor (<=),0015_306.3,Salt Lake,0.039392526,0.032655327
-835,0015_306.3,Predecessor (<=),0015_306.3,Salt Lake,0.039392526,0.032655327
-408,0068_057.3,Predecessor (<=),0068_057.3,Salt Lake,0.096370355,0.031719482
-333,0071_021.2,Predecessor (<=),0071_021.2,Salt Lake,0.045077773,0.007444378
-677,0080_136.1,Predecessor (<=),0080_136.1,Salt Lake,0.112376305,0.109122787
